id,id_before,position,Block,species,treatment,RNA_extract_ID_checked,RNA_extract_ng.ul,X260.230nm,X260.280nm,cDNA_ul_RNA_for_1000ng,cDNA_water_completion,Per4_Cq,MYC2_Cq,Act2_Cq,LOX2_Cq,PER4_techDiff,MYC2_techDiff,Act2_techDiff,LOX2_techDiff,PER4_mean,MYC2_mean,Act2_mean,LOX2_mean,MYC2.PER4,Lox2.Act2,MYC2_real_exp,Lox2_Real_exp,Both_Ref_Mean,MYC2.bothRef,Lox2.bothRef,MYC2_bothRef_real_exp,Lox2_BothRef_real_exp,MYC2.ACT2_ref_only,LOX2.ACT2_ref_only,MYC2.ACT2_ref_only_real_exp,LOX2.ACT2_ref_only_real_exp,MYC2_at_fold_DD,lox2_at_fold_DD
4,4,4,1,Arabidopsis_thaliana,control,AT1,287,2.035,2.166,3.48,11.52,28.35,25.4,20.16,19.66,0.12,0.1,0.62,0.3,28.29,25.35,19.85,19.51,-2.94,-0.34,7.68,1.27,23.7,1.65,-4.19,0.32,18.27,5.5,-0.34,0.022134121,1.269669783,1.59031662,2.042024251
7,3,7,1,Arabidopsis_thaliana,MeJA_0.1,AT7,323,2.14,2.143,3.1,11.9,27.96,25.63,20.58,19.98,0.67,0.57,0.14,0.14,27.62,25.92,20.51,20.05,-1.7,-0.45,3.25,1.37,23.8,2.12,-3.74,0.23,13.4,5.41,-0.45,0.023456072,1.367186229,1.692685591,2.203810232
2,2,2,1,Arabidopsis_thaliana,MeJA_1.0,AT13,395,1.702,2.048,2.53,12.47,27.25,23.39,20.09,18.24,0.23,0.03,0.08,0,27.13,23.41,20.05,18.24,-3.72,-1.81,13.18,3.5,23.32,0.09,-5.08,0.94,33.82,3.36,-1.81,0.097238304,3.496779496,7.009512077,5.656854249
8,1,8,1,Arabidopsis_thaliana,oral_secretion,AT19,288.5,2.124,2.124,3.47,11.53,28.32,24.19,19.84,19.32,0.27,0.04,0.08,0.14,28.45,24.17,19.8,19.39,-4.28,-0.41,19.41,1.33,23.74,0.44,-4.34,0.74,20.31,4.37,-0.41,0.048349297,1.329230786,3.48054692,2.143546925
5,1,5,1,Brassica_oleraceae,control,BO1,342,2.036,2.11,2.92,12.08,23.99,25.05,20.19,20.38,0.04,0.06,0.1,0.33,24.01,25.08,20.15,20.54,1.07,0.4,0.48,0.76,21.99,3.09,-1.45,0.12,2.73,4.93,0.4,0.032739673,0.758443441,1.889930698,1.914100614
3,2,3,1,Brassica_oleraceae,MeJA_0.1,BO7,286,1.484,2.111,3.5,11.5,22.38,25.43,18.33,19.15,0,0.06,0.19,0.03,22.38,25.4,18.43,19.16,3.02,0.74,0.12,0.6,20.31,5.1,-1.14,0.03,2.21,6.98,0.74,0.007948885,0.599481278,0.45638818,1.51221856
1,4,1,1,Brassica_oleraceae,MeJA_1.0,BO13,241,1.596,2.093,4.15,10.85,22.21,25.26,18.35,18.75,0.67,0.46,0.15,0.45,21.87,25.03,18.28,18.52,3.16,0.24,0.11,0.84,19.99,5.04,-1.47,0.03,2.77,6.75,0.24,0.009269898,0.844016669,0.535268008,2.138599997
6,2,6,1,Brassica_oleraceae,oral_secretion,BO19,523,2.063,2.196,1.91,13.09,23.99,26.3,19.84,20.9,0.01,0.09,0.22,0.06,24,26.26,19.95,20.87,2.26,0.92,0.21,0.53,21.88,4.38,-1.01,0.05,2.01,6.31,0.92,0.012634851,0.528788567,0.726146896,1.334839854
15,7,7,2,Arabidopsis_thaliana,control,AT2,85.16,1.664,1.891,11.74,3.26,30.64,27.26,22.47,22.06,0.05,0.19,0.13,0.07,30.61,27.36,22.53,22.1,-3.26,-0.44,9.56,1.35,26.26,1.09,-4.17,0.47,17.97,4.825884142,-0.44,0.035258523,1.351941703,2.5375388,2.188587403
9,5,1,2,Arabidopsis_thaliana,oral_secretion,AT20,146.2,2.136,2.064,6.84,8.16,26.56,22.35,18.72,17.38,0.02,0.01,0.01,0.03,26.57,22.35,18.71,17.4,-4.22,-1.32,18.59,2.49,22.3,0.05,-4.9,0.96,29.85,3.64,-1.32,0.080414526,2.490169326,5.772971182,4.0278222
10,6,2,2,Brassica_oleraceae,control,BO2,198,1.832,2.114,5.05,9.95,25.05,27.63,21.55,23.47,0.11,0.21,0.07,0.06,25.11,27.73,21.59,23.44,2.63,1.86,0.16,0.28,23.28,4.45,0.16,0.05,0.89,6.14,1.86,0.014134418,0.276419362,0.816957727,0.695762422
12,8,4,2,Brassica_oleraceae,MeJA_0.1,BO8,73.92,1.947,1.947,13.53,1.47,23.84,26.01,20.53,21.63,0.13,0.04,0.01,0.14,23.77,26.03,20.53,21.7,2.26,1.17,0.21,0.44,22.09,3.94,-0.39,0.06,1.31,5.51,1.17,0.022009261,0.444399406,1.264295179,1.122462048
13,,5,2,Brassica_oleraceae,MeJA_1.0,BO14,124,2.161,2.021,8.06,6.94,23.29,25.24,20.29,18.93,0.06,0,0.05,0.19,23.27,25.24,20.31,19.03,1.97,-1.29,0.26,2.44,21.74,3.5,-2.71,0.09,6.55,4.92,-1.29,0.032953638,2.43850684,1.903076206,6.175973947
16,7,8,2,Brassica_oleraceae,oral_secretion,BO20,296,1.977,2.072,3.38,11.62,29.3,29.44,23.8,24.9,0.83,0.01,0.4,0.06,29.71,29.43,24,24.93,-0.28,0.92,1.22,0.53,26.71,2.72,-1.78,0.15,3.43,5.43,0.92,0.023236818,0.526961369,1.336382813,1.334839854
21,10,5,3,Arabidopsis_thaliana,control,AT3,176,2.156,2.155,5.68,9.32,29.46,27.29,22.05,22.14,0.28,0.02,0.23,0.04,29.32,27.3,21.93,22.12,-2.02,0.19,4.06,0.88,25.36,1.94,-3.24,0.26,9.44,5.36,0.19,0.024287174,0.87899073,1.752378019,1.414213562
17,9,1,3,Arabidopsis_thaliana,MeJA_0.1,AT9,211.5,2.371,2.078,4.73,10.27,30.08,26.26,22.97,20.52,0.19,0.05,0.09,0,30.18,26.24,22.93,20.52,-3.94,-2.41,15.35,5.31,26.3,-0.07,-5.78,1.05,55.04,3.3,-2.41,0.101184307,5.308418525,7.307176341,8.5741877
20,12,4,3,Arabidopsis_thaliana,MeJA_1.0,AT15,167.49,1.856,2.036,5.97,9.03,28.65,24.87,22.07,20.07,0.2,0.09,0.05,0.04,28.75,24.92,22.09,20.09,-3.83,-2.01,14.23,4.02,25.2,-0.28,-5.12,1.22,34.72,2.83,-2.01,0.141043934,4.022603762,10.12123913,6.498019171
19,11,3,3,Arabidopsis_thaliana,oral_secretion,AT21,110,2.08,2.08,9.09,5.91,28.24,23.98,19.97,19.78,0.13,0.2,0.17,0.19,28.3,23.88,19.89,19.88,-4.42,-0.01,21.4,1.01,23.72,0.16,-3.85,0.9,14.38,4,-0.01,0.062708242,1.005914304,4.498094665,1.624504793
23,11,7,3,Brassica_oleraceae,control,BO3,126,2.059,2.059,7.94,7.06,22.89,22.63,19.11,18.97,0.08,0.21,0.2,0.48,22.85,22.53,19.01,18.73,-0.32,-0.28,1.25,1.21,20.84,1.69,-2.11,0.31,4.31,3.52,-0.28,0.087377897,1.212366256,5.022248217,3.066656689
18,10,2,3,Brassica_oleraceae,MeJA_0.1,BO9,139.52,2.086,2.086,7.17,7.83,22.2,23.94,18.53,18.82,0.07,0.01,0.2,0.12,22.17,23.94,18.43,18.76,1.77,0.33,0.29,0.8,20.21,3.72,-1.45,0.08,2.74,5.51,0.33,0.021998959,0.795858645,1.264295179,2.009263349
22,9,6,3,Brassica_oleraceae,MeJA_1.0,BO15,166.5,1.855,2.055,6.01,8.99,23.99,27.1,21.02,20.42,0.01,0.01,0.3,0.12,23.99,27.09,20.87,20.36,3.1,-0.52,0.12,1.43,22.38,4.72,-2.02,0.04,4.06,6.22,-0.52,0.013413874,1.432313043,0.772889104,3.621699045
24,,8,3,Brassica_oleraceae,oral_secretion,BO21,426,2.096,2.126,2.35,12.65,23.04,25.4,18.65,19.4,0.02,0.03,0.05,0,23.03,25.38,18.68,19.4,2.35,0.72,0.2,0.61,20.74,4.64,-1.35,0.04,2.54,6.7,0.72,0.00959017,0.608426779,0.554144194,1.533328345
28,16,4,4,Arabidopsis_thaliana,control,AT4,279,1.946,2.115,3.58,11.42,29.26,29.04,21.34,23.74,0.13,0.2,0.04,0.26,29.2,28.94,21.32,23.61,-0.26,2.29,1.2,0.2,24.95,3.99,-1.34,0.06,2.54,7.62,2.29,0.005071506,0.204717531,0.365847429,0.329876978
29,13,5,4,Arabidopsis_thaliana,MeJA_0.1,AT10,344,1.998,2.137,2.91,12.09,30.09,27.21,21.3,21.47,0.66,0.19,0.02,0.21,29.76,27.12,21.31,21.36,-2.64,0.06,6.22,0.96,25.18,1.94,-3.82,0.26,14.09,5.81,0.06,0.017801794,0.962163716,1.282815796,1.547564994
27,15,3,4,Arabidopsis_thaliana,MeJA_1.0,AT16,115.4,2.147,2.115,8.67,6.33,31.11,27.52,24.51,22.85,0.98,0.03,0.13,0.3,30.62,27.54,24.45,22.99,-3.08,-1.45,8.46,2.74,27.36,0.18,-4.36,0.88,20.61,3.09,-1.45,0.11730574,2.735936009,8.452124531,4.407620464
30,14,6,4,Arabidopsis_thaliana,oral_secretion,AT22,287,1.551,2.109,3.48,11.52,27.66,25.76,20.44,20.52,0.14,0.16,0.11,0.06,27.59,25.84,20.38,20.55,-1.76,0.17,3.38,0.89,23.71,2.12,-3.17,0.23,8.97,5.45,0.17,0.02283257,0.89079926,1.646399014,1.433955248
31,15,7,4,Brassica_oleraceae,control,BO4,417,2.113,2.146,2.4,12.6,22.02,24.38,17.83,18.7,0.11,0.01,0.13,0.05,22.07,24.39,17.9,18.73,2.31,0.83,0.2,0.56,19.88,4.51,-1.15,0.04,2.22,6.49,0.83,0.011149478,0.564115246,0.640972041,1.420763739
26,14,2,4,Brassica_oleraceae,MeJA_0.1,BO10,76.4,1.973,1.973,13.09,1.91,25.59,28.33,22.52,22.74,0.03,0.09,0.01,0.04,25.58,28.29,22.51,22.72,2.71,0.21,0.15,0.87,24,4.29,-1.28,0.05,2.42,5.78,0.21,0.018221206,0.865141243,1.048504704,2.183536529
25,13,1,4,Brassica_oleraceae,MeJA_1.0,BO16,124.09,2.176,2.069,8.06,6.94,21.57,25.6,18.23,19.21,0.08,0.09,0.04,0.19,21.61,25.64,18.21,19.3,4.03,1.09,0.06,0.47,19.84,5.8,-0.54,0.02,1.45,7.43,1.09,0.005809212,0.46954209,0.334095703,1.186462635
32,16,8,4,Brassica_oleraceae,oral_secretion,BO22,130.9,1.8,1.995,7.64,7.36,25.19,26.85,21.95,21.44,0.24,0.17,0.13,0.01,25.31,26.93,22.01,21.43,1.62,-0.58,0.33,1.49,23.6,3.33,-2.17,0.1,4.5,4.92,-0.58,0.033088342,1.494620639,1.903076206,3.775497251
33,18,1,5,Arabidopsis_thaliana,control,AT5,294,1.898,2.127,3.4,11.6,28.02,26.06,20.56,20.95,0.25,0.22,0.26,0.09,27.9,25.95,20.44,20.9,-1.95,0.47,3.86,0.72,23.88,2.07,-2.97,0.24,7.84,5.51,0.47,0.021944037,0.722175266,1.579331501,1.164733586
37,17,5,5,Arabidopsis_thaliana,MeJA_0.1,AT11,132.79,2.156,2.07,7.53,7.47,30.78,27.49,25.05,23.84,0.07,0.08,0.12,0.19,30.74,27.45,24.99,23.75,-3.29,-1.25,9.78,2.37,27.72,-0.27,-3.97,1.2,15.67,2.46,-1.25,0.181993903,2.370248263,13.08021205,3.837056477
38,20,6,5,Arabidopsis_thaliana,oral_secretion,AT23,320,1.8,2.116,3.13,11.88,28.4,29.37,22.04,23.19,0.06,0.37,0.14,0.18,28.38,29.19,21.97,23.1,0.81,1.13,0.57,0.46,24.97,4.22,-1.87,0.05,3.64,7.22,1.13,0.006703485,0.455703384,0.482738576,0.737134609
35,19,3,5,Brassica_oleraceae,control,BO5,415,2.06,2.132,2.41,12.59,22.04,25.18,17.67,21.01,0.02,0.04,0.34,0.11,22.04,25.16,17.84,20.96,3.11,3.12,0.12,0.12,19.83,5.32,1.13,0.02,0.46,7.32,3.12,0.006277459,0.115110131,0.360565517,0.290511397
40,17,8,5,Brassica_oleraceae,MeJA_1.0,BO17,115.3,2.17,2.053,8.67,6.33,23.71,25.71,21.04,19.51,0.06,0.19,0.01,0.03,23.74,25.62,21.04,19.52,1.88,-1.51,0.27,2.86,22.35,3.27,-2.82,0.1,7.08,4.58,-1.51,0.041737742,2.856424266,2.408831256,7.193364285
34,18,2,5,Brassica_oleraceae,oral_secretion,BO23,338,1.912,2.094,2.96,12.04,22.74,25.33,19.11,18.99,0.08,0.16,0.14,0.29,22.7,25.41,19.19,19.14,2.71,-0.05,0.15,1.04,20.87,4.54,-1.73,0.04,3.32,6.22,-0.05,0.013388493,1.035034645,0.772889104,2.614738494
45,21,5,6,Arabidopsis_thaliana,control,AT6,143,1.858,2.089,6.99,8.01,29.97,31.35,23.15,25.07,2.1,0.03,0.03,0.07,28.92,31.34,23.14,25.11,2.42,1.97,0.19,0.26,25.87,5.47,-0.76,0.02,1.69,8.2,1.97,0.003406394,0.255679786,0.244738678,0.411795509
48,22,8,6,Arabidopsis_thaliana,MeJA_0.1,AT12,142,1.559,2.046,7.04,7.96,36.05,38.89,29.86,34.11,0.47,0.67,0.29,1.27,35.82,39.23,30,33.47,3.41,3.46,0.09,0.09,32.78,6.44,0.68,0.01,0.62,9.22,3.46,0.001673334,0.09063337,0.120684644,0.146604369
41,23,1,6,Arabidopsis_thaliana,MeJA_1.0,AT18,109.42,1.824,2.098,9.14,5.86,26.69,23.15,19.9,18.3,0.05,0.12,0.07,0.2,26.66,23.09,19.86,18.2,-3.57,-1.66,11.91,3.17,23.01,0.08,-4.82,0.95,28.15,3.23,-1.66,0.106859914,3.170673203,7.670464915,5.098242509
43,24,3,6,Arabidopsis_thaliana,oral_secretion,AT24,220,1.498,2.12,4.55,10.45,27.47,26.7,20.96,36.04,0.14,0.19,0.12,0.55,27.54,26.6,21.01,36.32,-0.93,15.31,1.91,0,24.06,2.55,12.26,0.17,0,5.59,15.31,0.020757624,2.47E-05,1.494138643,3.97E-05
42,21,2,6,Brassica_oleraceae,control,BO6,102.4,2.032,2.08,9.77,5.23,22.22,24.83,18.22,20.15,0.11,0.25,0.11,0.42,22.27,24.96,18.27,20.36,2.69,2.09,0.16,0.23,20.17,4.79,0.19,0.04,0.88,6.69,2.09,0.009699561,0.234818635,0.557998571,0.593231317
47,23,7,6,Brassica_oleraceae,oral_secretion,BO24,218,2.284,2.085,4.59,10.41,23.96,27.16,20.37,21.35,0.06,0.04,0.07,0.13,23.93,27.18,20.34,21.41,3.25,1.08,0.11,0.47,22.06,5.12,-0.64,0.03,1.56,6.84,1.08,0.008728433,0.473624625,0.502896471,1.194715135
