,from,to,weight,positive_negative,weighted_edge_betweenness
1,ASV_1,ASV_3,0.144216942235269,positive,0
2,ASV_1,ASV_7,0.0178891921472413,positive,53
3,ASV_1,ASV_9,0.06749899168456,positive,0
4,ASV_1,ASV_15,0.084231263713696,positive,0
5,ASV_1,ASV_39,0.0354034465915498,positive,0
6,ASV_1,ASV_43,0.014502614132602,positive,188
7,ASV_1,ASV_65,0.0238100836661464,positive,38
8,ASV_1,ASV_89,0.0166794808872922,positive,21
9,ASV_1,ASV_245,0.0458162602786277,positive,176
10,ASV_1,ASV_423,-0.0208292590005095,negative,30
11,ASV_1,ASV_471,0.0166851841944402,positive,286
12,ASV_1,ASV_680,0.0428348527070668,positive,0
13,ASV_1,ASV_695,0.0491840883749163,positive,0
14,ASV_2,ASV_198,0.0573794684242021,positive,176
15,ASV_3,ASV_9,0.0196010656869273,positive,28
16,ASV_3,ASV_43,0.0158342079589647,positive,76
17,ASV_3,ASV_65,0.020670426980183,positive,0
18,ASV_3,ASV_89,0.020572428880948,positive,4
19,ASV_3,ASV_149,0.0294017813205249,positive,176
20,ASV_3,ASV_241,0.0197755131407074,positive,64
21,ASV_3,ASV_280,0.0599662719760017,positive,350
22,ASV_3,ASV_393,0.124222981665222,positive,0
23,ASV_3,ASV_423,0.0933941987461975,positive,0
24,ASV_3,ASV_471,0.023447386393457,positive,0
25,ASV_3,ASV_680,0.0270015566358437,positive,0
26,ASV_3,ASV_695,0.0124202392959212,positive,520
27,ASV_4,ASV_55,0.0901109750193852,positive,0
28,ASV_4,ASV_61,0.00796186170254249,positive,19
29,ASV_4,ASV_82,0.0713252527525534,positive,0
30,ASV_4,ASV_192,0.00513062988685759,positive,157
31,ASV_4,ASV_195,0.0462957732111035,positive,0
32,ASV_5,ASV_9,0.121587140377036,positive,15
33,ASV_5,ASV_19,0.0786875473500069,positive,28
34,ASV_5,ASV_98,0.06872883471476,positive,179
35,ASV_6,ASV_45,0.0136671728739544,positive,350
36,ASV_6,ASV_553,0.000963611992744853,positive,176
37,ASV_7,ASV_9,0.066748213350556,positive,0
38,ASV_7,ASV_15,0.0589777715579882,positive,0
39,ASV_7,ASV_39,0.03496748273679,positive,0
40,ASV_7,ASV_58,-0.0146592011239813,negative,280
41,ASV_7,ASV_65,0.0671594729944881,positive,0
42,ASV_7,ASV_142,0.013103286474437,positive,201
43,ASV_7,ASV_215,0.0403912448071031,positive,0
44,ASV_8,ASV_15,-0.0396800721947051,negative,0
45,ASV_8,ASV_24,0.00998026650100973,positive,382
46,ASV_8,ASV_31,0.0314493645946745,positive,0
47,ASV_8,ASV_142,0.011310042110793,positive,296
48,ASV_8,ASV_150,0.0530191383519284,positive,176
49,ASV_8,ASV_170,0.0367704918175168,positive,22
50,ASV_8,ASV_215,0.111185028702384,positive,0
51,ASV_8,ASV_417,-0.0260967079399886,negative,140
52,ASV_9,ASV_39,0.0536711344248381,positive,0
53,ASV_9,ASV_43,-0.0119659424362265,negative,1349
54,ASV_9,ASV_57,0.0921276095948643,positive,832
55,ASV_9,ASV_58,0.0223225832219539,positive,0
56,ASV_9,ASV_241,0.0141196089561891,positive,355
57,ASV_9,ASV_393,-0.000840396247837438,negative,176
58,ASV_9,ASV_416,0.111178425382138,positive,0
59,ASV_9,ASV_471,0.0906785829951611,positive,0
60,ASV_9,ASV_496,0.00643008366011511,positive,1861
61,ASV_9,ASV_695,0.0219790203492954,positive,0
62,ASV_10,ASV_28,0.0426583247465145,positive,2
63,ASV_10,ASV_55,0.0692075655982916,positive,0
64,ASV_10,ASV_114,0.0617884586908376,positive,15
65,ASV_10,ASV_211,0.0190642516635984,positive,159
66,ASV_12,ASV_168,0.040271450271393,positive,176
67,ASV_14,ASV_18,0.0649524664754616,positive,3
68,ASV_14,ASV_28,0.0164290112561252,positive,145
69,ASV_14,ASV_93,-0.0242174964243847,negative,80
70,ASV_14,ASV_100,0.154489456004562,positive,0
71,ASV_15,ASV_24,0.0774635112500441,positive,0
72,ASV_15,ASV_36,0.0703343614727576,positive,56
73,ASV_15,ASV_39,0.0498451685077185,positive,154
74,ASV_15,ASV_417,0.000117127794169052,positive,176
75,ASV_18,ASV_100,0.0452345430558617,positive,12
76,ASV_18,ASV_142,0.0380984465310601,positive,161
77,ASV_19,ASV_22,0.0134950751277988,positive,4
78,ASV_19,ASV_57,-0.0243051037057304,negative,152
79,ASV_22,ASV_57,-0.010975249343802,negative,346
80,ASV_22,ASV_115,-0.00795731270995787,negative,176
81,ASV_24,ASV_26,-0.0220167303226267,negative,162
82,ASV_24,ASV_27,-0.0240552547057318,negative,181
83,ASV_24,ASV_29,0.0140042917625992,positive,1940
84,ASV_24,ASV_31,-0.00239790365480835,negative,1467
85,ASV_24,ASV_36,-0.0832263261178437,negative,0
86,ASV_24,ASV_91,0.0230747501127525,positive,0
87,ASV_24,ASV_142,0.0337784705189721,positive,0
88,ASV_26,ASV_27,0.0298801752954747,positive,14
89,ASV_26,ASV_31,-0.0315654076376628,negative,0
90,ASV_26,ASV_72,0.0621947765229353,positive,0
91,ASV_26,ASV_142,0.0617111928811699,positive,0
92,ASV_27,ASV_31,0.026031419421425,positive,36
93,ASV_27,ASV_36,0.0440260191961782,positive,287
94,ASV_27,ASV_186,0.00600699398611654,positive,426
95,ASV_27,ASV_416,0.067914833780453,positive,0
96,ASV_28,ASV_211,0.0440363195014664,positive,80
97,ASV_28,ASV_471,0.0205974542371702,positive,187
98,ASV_29,ASV_31,0.0795658004715198,positive,0
99,ASV_29,ASV_39,0.000596781502754705,positive,2184
100,ASV_29,ASV_40,0.0926696073684785,positive,176
101,ASV_29,ASV_142,-0.0298068319393191,negative,10
102,ASV_30,ASV_251,0.00180382396005122,positive,1
103,ASV_31,ASV_36,0.0407074922617244,positive,875
104,ASV_31,ASV_72,0.0113814579413337,positive,176
105,ASV_31,ASV_91,0.0110956278726499,positive,350
106,ASV_31,ASV_142,0.0421542595523421,positive,0
107,ASV_33,ASV_191,0.0301444915118929,positive,1
108,ASV_34,ASV_119,0.0348920440554623,positive,176
109,ASV_35,ASV_309,-0.00997072670609263,negative,176
110,ASV_35,ASV_363,0.102397435064959,positive,2
111,ASV_36,ASV_37,-0.0266436997153263,negative,894
112,ASV_36,ASV_303,-0.0347896577279648,negative,320
113,ASV_37,ASV_64,0.0366030054459886,positive,544
114,ASV_37,ASV_139,-0.0465033893463161,negative,176
115,ASV_37,ASV_159,0.0287559013803764,positive,176
116,ASV_37,ASV_265,0.0748179563165855,positive,350
117,ASV_39,ASV_58,0.0459221699287495,positive,0
118,ASV_39,ASV_65,0.00265498097551354,positive,2452
119,ASV_39,ASV_215,0.0964631364540446,positive,0
120,ASV_39,ASV_471,0.0238928384491113,positive,0
121,ASV_39,ASV_496,0.0187790362392999,positive,0
122,ASV_39,ASV_695,0.0400815577088184,positive,0
123,ASV_42,ASV_50,0.00940899410013185,positive,860
124,ASV_42,ASV_107,0.0369561520518047,positive,0
125,ASV_42,ASV_178,0.0757428856410661,positive,0
126,ASV_42,ASV_316,0.0925597002097661,positive,0
127,ASV_42,ASV_940,0.0291331387306355,positive,692
128,ASV_43,ASV_55,0.0206220556221742,positive,213
129,ASV_43,ASV_61,0.0244429908396148,positive,476
130,ASV_43,ASV_65,0.0456032550491512,positive,0
131,ASV_43,ASV_144,-0.0052844308284626,negative,1670
132,ASV_44,ASV_102,0.0647175109443731,positive,1
133,ASV_44,ASV_258,0.0717107590157397,positive,175
134,ASV_45,ASV_64,0.0171667926686044,positive,856
135,ASV_45,ASV_157,0.0747748138012003,positive,592
136,ASV_45,ASV_360,0.0410623940359035,positive,176
137,ASV_45,ASV_377,0.0132703929597973,positive,522
138,ASV_45,ASV_791,0.0270503249879889,positive,176
139,ASV_46,ASV_119,-0.00407373056384182,negative,692
140,ASV_46,ASV_130,0.00529621281084716,positive,1190
141,ASV_46,ASV_198,0.0455591601349896,positive,350
142,ASV_46,ASV_232,0.0127681093235039,positive,0
143,ASV_47,ASV_112,0.051289822850457,positive,350
144,ASV_47,ASV_122,0.100530411269688,positive,0
145,ASV_47,ASV_197,0.0541396091312555,positive,176
146,ASV_48,ASV_88,0.0230796260786565,positive,0
147,ASV_48,ASV_172,0.0577492762839543,positive,0
148,ASV_48,ASV_244,0.00592166898374208,positive,176
149,ASV_49,ASV_64,0.00646482567861713,positive,1826
150,ASV_49,ASV_70,0.023238542819761,positive,1670
151,ASV_49,ASV_172,0.04570520413536,positive,0
152,ASV_49,ASV_244,0.12534501654599,positive,0
153,ASV_50,ASV_107,0.0262688543741788,positive,0
154,ASV_50,ASV_114,0.0359044633337903,positive,0
155,ASV_50,ASV_178,-0.00760013255108205,negative,1026
156,ASV_50,ASV_316,0.0545879988399382,positive,0
157,ASV_51,ASV_59,0.0140216087776321,positive,10
158,ASV_51,ASV_304,0.00858136152027601,positive,10
159,ASV_51,ASV_545,0.00777737262658673,positive,10
160,ASV_52,ASV_212,0.00803007141584371,positive,176
161,ASV_54,ASV_361,0.0247454281730601,positive,2
162,ASV_55,ASV_61,0.0180424959235897,positive,176
163,ASV_55,ASV_124,-0.00196560989371965,negative,176
164,ASV_55,ASV_192,0.081326824647143,positive,0
165,ASV_55,ASV_195,0.0339872716838934,positive,0
166,ASV_55,ASV_211,0.0592676605864296,positive,0
167,ASV_55,ASV_273,0.0642874575137812,positive,43
168,ASV_56,ASV_74,0.00120579764420549,positive,176
169,ASV_57,ASV_468,0.0249964160331114,positive,176
170,ASV_58,ASV_83,0.018527173784186,positive,1968
171,ASV_58,ASV_98,0.0340129134772484,positive,1837
172,ASV_58,ASV_215,0.0133988788219586,positive,872
173,ASV_58,ASV_496,0.0695526785865786,positive,0
174,ASV_58,ASV_695,0.00604396403066084,positive,3213
175,ASV_59,ASV_73,-0.00697378216913176,negative,6
176,ASV_61,ASV_168,-0.0112061299604139,negative,274
177,ASV_61,ASV_185,-0.0214600712818288,negative,176
178,ASV_61,ASV_192,-0.017490423067596,negative,0
179,ASV_61,ASV_195,0.00591616713575456,positive,25
180,ASV_61,ASV_204,-0.0658132703988653,negative,0
181,ASV_61,ASV_211,0.0125046283180867,positive,580
182,ASV_61,ASV_644,0.100897677333021,positive,0
183,ASV_64,ASV_155,0.027228538421493,positive,2332
184,ASV_65,ASV_89,0.140691093024524,positive,0
185,ASV_65,ASV_274,-0.018944774195387,negative,143
186,ASV_65,ASV_423,-0.0442464923727343,negative,0
187,ASV_65,ASV_680,0.0126889451608988,positive,0
188,ASV_65,ASV_695,0.00335572654328475,positive,2635
189,ASV_69,ASV_153,-0.00474427097387395,negative,2576
190,ASV_69,ASV_166,0.0303126997990959,positive,860
191,ASV_69,ASV_180,0.0106672451883755,positive,176
192,ASV_69,ASV_212,-0.0232778687223125,negative,350
193,ASV_69,ASV_221,0.00180047241374178,positive,1026
194,ASV_69,ASV_275,0.0466382473760246,positive,0
195,ASV_69,ASV_383,0.0387421138653295,positive,176
196,ASV_70,ASV_172,0.0030766723120424,positive,522
197,ASV_70,ASV_189,0.0970743340603889,positive,176
198,ASV_70,ASV_244,-0.00517417709275653,negative,860
199,ASV_71,ASV_304,-0.0358741976590509,negative,6
200,ASV_74,ASV_275,0.0743627226646613,positive,350
201,ASV_76,ASV_275,0.00698645777635079,positive,176
202,ASV_80,ASV_91,0.0199347776976737,positive,176
203,ASV_82,ASV_192,0.0322495507616585,positive,176
204,ASV_83,ASV_90,0.0119350292273626,positive,3542
205,ASV_83,ASV_93,0.0230422084344943,positive,898
206,ASV_83,ASV_157,0.0490790898657392,positive,0
207,ASV_83,ASV_204,-0.0266993491075692,negative,1294
208,ASV_83,ASV_211,0.0914517882729914,positive,0
209,ASV_83,ASV_293,-0.0113420778279057,negative,348
210,ASV_86,ASV_238,-0.0116638799279189,negative,176
211,ASV_87,ASV_253,-0.00721467709017807,negative,1
212,ASV_88,ASV_172,0.000763212892801028,positive,176
213,ASV_89,ASV_423,0.00746456375930443,positive,151
214,ASV_89,ASV_680,0.0226740135180064,positive,0
215,ASV_90,ASV_153,-0.00233121961284861,negative,3410
216,ASV_90,ASV_275,0.0558707872032441,positive,0
217,ASV_92,ASV_603,-0.000133472220154393,negative,176
218,ASV_93,ASV_98,0.0165031435961492,positive,808
219,ASV_96,ASV_275,0.0200375330965714,positive,176
220,ASV_98,ASV_155,0.0108897479446646,positive,2452
221,ASV_100,ASV_131,0.0108443640474618,positive,358
222,ASV_100,ASV_157,0.0469340496890223,positive,0
223,ASV_100,ASV_617,0.016930245384148,positive,176
224,ASV_102,ASV_153,0.0365667419398194,positive,174
225,ASV_102,ASV_258,0.0341610911279473,positive,1
226,ASV_104,ASV_153,0.0480903283880966,positive,350
227,ASV_104,ASV_331,0.0936561328073748,positive,176
228,ASV_106,ASV_499,0.0524357701407471,positive,176
229,ASV_106,ASV_940,0.0707398015120744,positive,350
230,ASV_107,ASV_114,0.0170818441850752,positive,12
231,ASV_107,ASV_178,0.00748392742734982,positive,182
232,ASV_107,ASV_316,0.0131628972895171,positive,24
233,ASV_107,ASV_334,0.0639677235258136,positive,0
234,ASV_111,ASV_116,0.0132091288824117,positive,1
235,ASV_112,ASV_122,0.0388734390972165,positive,0
236,ASV_112,ASV_166,0.00138102300377997,positive,522
237,ASV_113,ASV_919,-0.00911057574348554,negative,3
238,ASV_114,ASV_210,0.063148253277777,positive,0
239,ASV_114,ASV_316,0.0249434519568687,positive,498
240,ASV_114,ASV_512,-0.00572096439131212,negative,2379
241,ASV_114,ASV_603,-0.025269844822609,negative,1826
242,ASV_117,ASV_496,0.029622174271832,positive,176
243,ASV_119,ASV_232,0.00518737696092483,positive,176
244,ASV_119,ASV_237,0.0027487083663105,positive,176
245,ASV_120,ASV_260,0.0518198829472793,positive,1
246,ASV_121,ASV_265,-0.025213731744977,negative,176
247,ASV_122,ASV_166,0.00138865750610919,positive,176
248,ASV_123,ASV_167,0.00560301878816107,positive,176
249,ASV_123,ASV_377,0.0126901629544366,positive,350
250,ASV_126,ASV_416,0.0214332093661609,positive,350
251,ASV_126,ASV_754,-0.0202571344133812,negative,176
252,ASV_129,ASV_215,-0.010254703192231,negative,176
253,ASV_130,ASV_144,-0.0565084650825035,negative,1512
254,ASV_130,ASV_877,0.0779477248442822,positive,176
255,ASV_131,ASV_157,0.0153670060805309,positive,528
256,ASV_132,ASV_1015,-0.054587957884801,negative,1
257,ASV_135,ASV_303,0.0266770866818917,positive,146
258,ASV_135,ASV_416,0.11181669543201,positive,30
259,ASV_141,ASV_299,0.0157462469123924,positive,4
260,ASV_141,ASV_540,-0.0453176704878261,negative,3
261,ASV_142,ASV_215,-0.0172855465022373,negative,308
262,ASV_144,ASV_168,0.0468644478510632,positive,0
263,ASV_148,ASV_282,0.0751729236390972,positive,1
264,ASV_149,ASV_241,0.0859876288661904,positive,0
265,ASV_149,ASV_680,0.0768977795376502,positive,0
266,ASV_153,ASV_258,-0.00829574119695911,negative,348
267,ASV_157,ASV_204,-0.0120541896280015,negative,1112
268,ASV_166,ASV_221,0.0592494626595156,positive,0
269,ASV_166,ASV_275,0.0762612584896964,positive,0
270,ASV_168,ASV_192,-0.00190517260270518,negative,3623
271,ASV_168,ASV_195,-0.0449697473653428,negative,0
272,ASV_168,ASV_204,-0.00919603497680106,negative,3999
273,ASV_170,ASV_492,-0.0244540749243529,negative,154
274,ASV_171,ASV_429,0.0347905092829696,positive,1
275,ASV_172,ASV_196,-0.0139961388738748,negative,176
276,ASV_175,ASV_544,0.00527194723433474,positive,176
277,ASV_176,ASV_387,-0.0165360922627834,negative,1
278,ASV_177,ASV_186,0.0183308331213529,positive,692
279,ASV_177,ASV_538,0.0358069041408054,positive,350
280,ASV_177,ASV_917,-0.00346928145472875,negative,176
281,ASV_178,ASV_316,-0.0517776024459837,negative,0
282,ASV_178,ASV_512,-0.0110389468158112,negative,1316
283,ASV_186,ASV_294,-0.0232643596638404,negative,522
284,ASV_186,ASV_416,-0.0211125191455822,negative,1074
285,ASV_192,ASV_195,0.0107036070012175,positive,282
286,ASV_192,ASV_211,-0.000166314226870381,negative,4124
287,ASV_192,ASV_215,0.015247598624888,positive,1022
288,ASV_192,ASV_644,0.00288969963092583,positive,176
289,ASV_193,ASV_599,-0.00779076207464051,negative,1
290,ASV_195,ASV_211,0.0369724325247644,positive,0
291,ASV_195,ASV_273,0.0641666723192973,positive,133
292,ASV_204,ASV_211,-0.0249886142603994,negative,0
293,ASV_204,ASV_496,0.0119360813490677,positive,600
294,ASV_204,ASV_680,0.0361028299427651,positive,0
295,ASV_204,ASV_695,0.015290482077535,positive,2219
296,ASV_205,ASV_238,-0.00265344699260468,negative,176
297,ASV_206,ASV_940,0.0282501837287689,positive,176
298,ASV_210,ASV_211,-0.0288817356664253,negative,3911
299,ASV_210,ASV_225,0.0194449077057352,positive,176
300,ASV_210,ASV_512,0.00930506555947679,positive,3657
301,ASV_211,ASV_556,-0.0300180929882075,negative,520
302,ASV_215,ASV_644,0.0245382617570284,positive,0
303,ASV_221,ASV_275,0.00922616159755329,positive,860
304,ASV_229,ASV_471,0.028715571260007,positive,176
305,ASV_238,ASV_603,0.0383762805514107,positive,522
306,ASV_241,ASV_416,0.00898677871835544,positive,1908
307,ASV_241,ASV_680,0.00602977320127508,positive,1633
308,ASV_244,ASV_477,-0.0244974585127142,negative,176
309,ASV_244,ASV_544,-0.010504814608356,negative,350
310,ASV_257,ASV_336,-0.0152449659866419,negative,176
311,ASV_274,ASV_423,-0.0108575764388702,negative,33
312,ASV_280,ASV_404,-0.0355719374936751,negative,176
313,ASV_288,ASV_323,0.000620102335100426,positive,1
314,ASV_293,ASV_363,0.0355408492753164,positive,174
315,ASV_294,ASV_301,0.0463849196480589,positive,176
316,ASV_294,ASV_384,0.0846474433979972,positive,176
317,ASV_299,ASV_374,0.0452681890873928,positive,3
318,ASV_304,ASV_545,0.036145240858706,positive,0
319,ASV_309,ASV_556,-0.0219011313432196,negative,348
320,ASV_314,ASV_359,-0.00434499527716149,negative,1
321,ASV_316,ASV_334,0.0383540403727714,positive,350
322,ASV_327,ASV_919,-0.0160403737301603,negative,3
323,ASV_330,ASV_334,0.0323393025363877,positive,176
324,ASV_335,ASV_336,0.0466179787820058,positive,522
325,ASV_335,ASV_369,0.0671325376319782,positive,176
326,ASV_335,ASV_603,0.0538377803808507,positive,860
327,ASV_336,ASV_339,0.0367998219857388,positive,176
328,ASV_341,ASV_492,0.0286721515051142,positive,176
329,ASV_345,ASV_436,0.0403261862747061,positive,1
330,ASV_361,ASV_648,-0.0315810631697881,negative,2
331,ASV_388,ASV_603,-0.00672300899308772,negative,176
332,ASV_393,ASV_423,-0.0842549096873244,negative,0
333,ASV_393,ASV_680,0.0389378317305829,positive,0
334,ASV_408,ASV_645,0.0269549078010521,positive,2
335,ASV_416,ASV_492,-0.00276020318529424,negative,500
336,ASV_423,ASV_680,-0.0105641406981858,negative,324
337,ASV_471,ASV_695,-0.00570910015425092,negative,695
338,ASV_487,ASV_919,-0.0185542348866976,negative,3
339,ASV_491,ASV_545,0.00372001419448393,positive,6
340,ASV_496,ASV_695,0.00751057961563909,positive,1531
341,ASV_528,ASV_594,0.0195576771243374,positive,1
342,ASV_538,ASV_611,0.0265148299056122,positive,176
343,ASV_538,ASV_917,0.0651096275024783,positive,0
344,ASV_555,ASV_645,0.024861236500694,positive,2
345,ASV_680,ASV_695,-0.0049748217526987,negative,1995
